text,class
"Братан, есть ли что-нибудь в мире, что подчеркивает, что после учебы больше нечему учиться?",Hope_speech
"@swaraj ariyeri, почему ты так говоришь, я ничего не говорил о твоей матери, извини, братан.",Hope_speech
"@Sindhu Prasad они могут любить только мужчин.. не могут заниматься сексом с мужчинами.. если они женятся на девушке, жизнь будет адом для этой девушки и для них.. так что вы говорите, что мы должны тратить жизнь ребенка, привязывая девушку к скрыть это?",Hope_speech
"Что говорит парень в пальто... Сону Никеш нтх чеюм, пока не будет закона.... Я все понимаю после прослушивания, даже без особых знаний... аварк, чтобы жить своей жизнью, анувадхикканам... пожалуйста, не обижай. ..",Hope_speech
"После того, как я услышал опыт Никешетана, мои глаза наполнились",Hope_speech
"Мой большой привет сестре, которая носила эту рубашку от Audiencil",Hope_speech
И этот добрый ум,Hope_speech
"Он выбрал свою собственную жизнь, не разрушив чью-либо жизнь ... много любви",Hope_speech
С годовщиной свадьбы амма….,Hope_speech
@Идеальный мужчина да.... спасения не будет,Hope_speech
"Вместо этого, если индийские компании выпустят лучшее приложение, чем это, можно выполнить UNISTAL, а если нет, можно выполнить UN INSTALL.",Hope_speech
С годовщиной свадьбы и живи долго и счастливо,Hope_speech
"СЧАСТЛИВОЙ ЖИЗНИ, братаны",Hope_speech
Когда-то гомосексуальность считался психическим расстройством.,Hope_speech
"Этот сарказм проистекает из ощущения, что быть геем плохо.",Hope_speech
"@sowmya Haridas нет В жизни не бывает брака. Теперь есть только одна молитва, чтобы в нашей стране больше не рождались ЛГБТ-дети. Наше общество только виновато, даже не зная, что такое гей..",Hope_speech
Не все будут такими.. Не решено быть такими.. Это произойдет само собой..,Hope_speech
Удачи вам обоим...,Hope_speech
Я никогда не слышала таких трогательных слов в этот день матери. Любовь к матери,Hope_speech
Пусть твоя жизнь станет источником вдохновения для таких людей.... Очень нравится.... Люблю вас обоих,Hope_speech
"Арункумар был тигром, когда разговаривал с Т.П. Сенкумаром ....ладкий, как кошка с ними Вы очень хорошо умеете разговаривать с кем угодно... Мило..Доктор. Арун Кумар К.",Hope_speech
"Пусть решат, что если ты выпьешь чай и освежишься, ты его выпьешь... и им конец.",Hope_speech
"С годовщиной, Сурьямма и Ишаан, пусть Бог обильно благословит вас обоих",Hope_speech
"Если общество начнет их принимать, то их ребенок не попадет ни в какую ситуацию. В первую очередь нужно понять изменения в генах сексуальной ориентации... Если они умеют принимать себя и бороться за свои права, они могут хорошо воспитать этого ребенка и научить его правильным установкам. Достаточно изменить точку зрения общества",Hope_speech
"Пожелания на годовщину свадьбы были словами, которые тронули сердце и наполнили глаза",Hope_speech
Не отказывайтесь от взаимной любви и доверия. Сила вашей любви уступит место вашим правам. Всего наилучшего...,Hope_speech
"Общество никогда не платило цену тем, кто взывает к истине. Если у вашего сына будет похожая ситуация в будущем....../?????? ""Если мать Аранте сойдет с ума, приятно видеть...",Hope_speech
"Что Томас Мэтью и Шрихари не могли быть такими. Вряд ли ушел. Оба были очень влюблены друг в друга. Но разве судьба не бросала и не отбрасывала все? Их история до сих пор жжет, как боль.",Hope_speech
Что плохого в любви...забудь...любил..живи...любовь будем жить вместе до самой смерти..почему пришел человек в пальто...Кевин..это любовь....Арун ты правильно... человек в черном пальто Что будет с обществом?,Hope_speech
"@Thomas Varghese Ни один из демонов, как вы подразумеваете ... они также два человека",Hope_speech
"Лев сегодня похож на розу, доктор Арун, сэр.",Hope_speech
"Школьный столп - тот, кто должен это знать.",Hope_speech
Оба пусть бедняки тоже живут,Hope_speech
"@Thahira Faisal Такие сексуальные меньшинства были все время, не правильно схватки и роды происходили тогда и будут происходить до сих пор...",Hope_speech
"Ваш комментарий, как будто кто-то заставил вас выйти замуж за мужчину.Никеш сказал, что те, кто хочет, должны иметь право жениться.И отныне это не означает, что каждый мужчина должен жениться на мужчине, а каждая девушка на женщине.Что вы имеете в виду говоря, что они женятся только из-за секса?",Hope_speech
"Это гордость, когда я тебя помню",Hope_speech
"Затем дети, у которых умерла мать, дети-сироты, брошенные матерью, дети, за которыми присматривают другие члены семьи, потому что мать не в состоянии это сделать, и дети матерей, у которых нет времени присматривать за своими детьми по причине работать чахлый рост?",Hope_speech
"Дай Бог тебе прожить так счастливо еще 100 лет, сестра Сурья...",Hope_speech
Они должны быть наказаны за спасение жизни двух девушек.,Hope_speech
С годовщиной свадьбы Моя жизнь полна добра,Hope_speech
"Душевная болезнь принадлежит тебе, кто это сказал, это божье творение",Hope_speech
"@Varikkaplamootil Anchery — фанатка кого угодно. Всем тем, кто заинтересован в передаче знаний о разных вещах...",Hope_speech
"Пусть все, кто так искренен, объединятся... Много счастья ?",Hope_speech
"Неестественно. Спросите тех, кто говорит, что половой акт противоестественен. Природа позволила ему размножаться. Если вы рассмотрите любое растение или животное, вы увидите то же самое. Разве половой акт, отличный от продолжения рода, тоже не противоречит природе? и методы контроля над рождаемостью",Hope_speech
"Я уважаю их... Я презираю тех, кто рождается таким и ходит в гриме...",Hope_speech
"@jaseem naji Трансгендерам дают гормоны не для сексуального влечения, а для полового члена и для предотвращения роста сперматозоидов в организме.",Hope_speech
"Эта земля тоже принадлежит им, и пусть они идут своим путем.",Hope_speech
"Лучший эпизод, который я видел на Народном суде",Hope_speech
С их стороны нет ошибки,Hope_speech
Спасибо за важные ариву,Hope_speech
Очень полезное предупреждение 100% Да благословит вас Бог,Hope_speech
"@binu pv Вот каково это... Все сидят и режут бананы, глядя на огонь, и если будет война, Индия и Китай проиграют.",Hope_speech
"Ни женщины, ни мужчины. Двое зеленых мужчин. Двое мужчин, которые доказывают, что такое любовь",Hope_speech
Живите хорошо сестры,Hope_speech
Сурьямма...Я плакала...Дай Бог тебе жить долго и счастливо...Молитвы всегда будут с тобой...??Можем ли мы когда-нибудь встретиться...????,Hope_speech
снехикунавар аанаялум пеннаялум онничу дживикатте..аареюм компель чейтиталаллооо..параспарамулла иштатодейалле...аварум дживикатте..лаурен,Hope_speech
"Вы заметили что-то, что сказал Никеш в первой части интервью @Suhaib Pulikkal? Я до сих пор не знаю, чем закончились наши отношения, возможно, мать или родственники Никеша звонили Раджу, возможно, угрожали или эмоционально шантажировали... поэтому он сбежал и заставил Никеша жениться на девушке, чтобы кто-то что-то сделал в есть жизнь... если пятнадцатилетний и девятнадцатилетний любят так долго для кого-то с такой эмоциональной связью... бедные люди",Hope_speech
Вы живете своей жизнью. Привет,Hope_speech
"Речь Никеша - это другой уровень... Мне было противно, когда я услышал эту новость. Но.. теперь я чувствую поклонение... хороший разговор.... Да благословит вас обоих Бог...",Hope_speech
Поздравить маму с 1000-летием свадьбы,Hope_speech
Арун ты жемчужина,Hope_speech
Живите вместе сто лет.. Да благословит вас Бог. Да благословит Бог всех троих в следующем году,Hope_speech
Снеси братан,Hope_speech
"@shynu1000 ""бисексуал"" означает тот же гендернодум, противоположный гендерному влечению... девушка любит мальчика и любит девочку... Прямая означает, что многим девушкам нравится мальчик... мальчик любит девочку",Hope_speech
Пусть они оба живут долго и счастливо,Hope_speech
"kvr dh faz Мы сказали, что заинтересованы в усыновлении ребенка, которого бросили отец и мать. Почему ребенку без отца и матери хорошо иметь двух отцов? Было бы лучше, если бы такие, как вы, которые выдвигают это обвинение, взяли и воспитали одного из детей-сирот в этой стране. Еще лучше.",Hope_speech
"Даже когда на канале идет большая дискуссия, никто об этом не говорит, носите маску, носите маску, это единственное, что говорится, простым людям нужно говорить так",Hope_speech
"Вы можете жить, как хотите",Hope_speech
"Боже, храни их обоих",Hope_speech
"В вейпинге нет ничего плохого... но не верьте, что это поможет вам не заболеть ковидом",Hope_speech
"@Хасина Хасина Гей. Но есть ли у вас информация о том, что... нетрадиционная женщина вышла замуж. Что получить ... это сложно",Hope_speech
"@SAYYID HISHAM THANGAL Здесь сексуальные отношения не являются чем-то неправильным, но сексуальные отношения без согласия являются неправильными, даже если это муж и жена..",Hope_speech
С годовщиной свадьбы Сурья Ишаан Дурга Сумангали Бхава,Hope_speech
"Есть хорошее процветание, чтобы увидеть сестру",Hope_speech
"То, о чем просили Никеш и Сону, не то, что у тебя на уме, братан. Они потребовали, чтобы двое взрослых (будь то мужчина или женщина) имели возможность жить вместе и вступать в брак по обоюдному согласию, и для этого должен быть закон.",Hope_speech
С годовщиной Сурья и Ишан Сурья юде Пусть бог позаботится о маме. Бедному человеку придется столько терпеть.,Hope_speech
Совет врача очень полезен.,Hope_speech
Живите счастливо ребята,Hope_speech
"У вас есть болезнь невежества или невежества, а также есть болезнь религиозного рабства.",Hope_speech
"Ты должен прожить сто лет. Боже, благослови это",Hope_speech
"Скажите сообществу, чтобы они пошли и позаботились о работе. н. Дай Бог им обоим здоровья.",Hope_speech
"Вы определенно благодарны за то, что делитесь хорошими знаниями с людьми.",Hope_speech
"О, как бедны эти двое.. Если вы увидите, как Сону смотрит на Никеша, когда он говорит, вы узнаете любовь между ними.. Я испытываю уважение к Никешу, который сопротивлялся, несмотря на то, что его семья заставила его жениться на девушке и обманула его. партнер.",Hope_speech
"24 новости, чтобы поднять такие вопросы в обществе и вызвать обсуждение",Hope_speech
Каждый рождается женским плодом,Hope_speech
"С юбилеем, дорогие",Hope_speech
"В ходе дискуссий на эту тему постоянно звучит выражение ""неестественный"" из-за недостатка знаний о том, что такое природа и каковы ее разновидности.",Hope_speech
У каждого свои предпочтения и у каждого есть право выбора,Hope_speech
"@AVR Media Team Sathyam redmi mobilesum jio simumokke очень помог простым людям, и другие должны были быть такими, как они.",Hope_speech
"Информация, предоставленная сэром, - это то, что мы должны принимать на протяжении всей нашей жизни. Даже если ковида нет.",Hope_speech
"Он не знает, о чем говорит Кевин. Он только кажется, что не согласен. Арун говорит так тихо, что это естественная авастха.",Hope_speech
"Если придет мой собственный мон и скажет, примешь ли ты... Нет, ты скажешь мне покончить жизнь самоубийством.",Hope_speech
"@MadTitan был обнаружен многими исследователями ...... и изучал его. А если не веришь в это, то и не верь.",Hope_speech
"Посмотрим, если не будет войны, Камми и Судапи воспользуются такой возможностью, чтобы создать здесь проблемы...????",Hope_speech
"Эволюция – это естественный закон. гомосексуальность — это всего лишь состояние мутации ДНК, которое встречается у всех видов. Племенные мифы религий, которые всегда сеяли семена ненависти к человечеству, отвергают такие условия как неестественные. Поэтому увеличение населения и сельского хозяйства очень неестественно. Когда человеческая популяция увеличивается, как популяция комаров, и пытается разрушить экосистему, сама природа может определить множество таких решений в соответствующий период.",Hope_speech
"Хорошая тема, да здравствует все",Hope_speech
Любовь в этом заикающемся горле... Сурьямма Ишта,Hope_speech
"Я до сих пор помню.. когда я увидела в новостях, что ты вышла замуж, я была очень удивлена ??и счастлива... Да, пусть счастье будет длиться сегодня и навсегда, мама..... с годовщиной",Hope_speech
"@chakka kuru что ты видишь? не только в этом случае.. Даже когда какая-нибудь знаменитость выходит замуж, многие люди приходят сказать это.. Что с вами не так?",Hope_speech
"@Sreekesh Mohanan Почему я фанатик дравидийской касты? Моя ДНК никогда не изменится, даже если я уйду из религии",Hope_speech
"Я очень рад, что мы стали обществом, которое обсуждает такие вопросы.",Hope_speech
"С годовщиной свадьбы, сурьямма ишан иккка ?",Hope_speech
Время нам собраться вместе,Hope_speech
Грустно слышать кого....,Hope_speech
Низкий Вам поклон за желание жить...,Hope_speech
катта поддерживает чечи?,Hope_speech
С днем ??свадьбы Амма и Папа. С днем ??матери. Наилучшие пожелания этому сыну и невестке с большой любовью,Hope_speech
"Уважаемый доктор, пусть они продолжают снимать такие же хорошие видео.",Hope_speech
Киду программа....программа без крика друг на друга как чумма обсуждение 3-го канала....эээ время ждать на ютубе...чтобы посмотреть ее...программа которая изменила многие мои взгляды...и отличный хозяин,Hope_speech
Диргха Сумангали Бхава. Пусть Ишаан и Сурья будут благословлены сегодня всеми благословениями,Hope_speech
В этот день матери с тысячей поцелуев любви ... Твой собственный атхул ( Радживе идукки ),Hope_speech
"Увидев двух бедняков, живущих никому не причинив вреда, я вспомнил маму %$#$%, какая трагедия.",Hope_speech
Мы не создатели войны во имя религии,Hope_speech
"Годовщина свадьбы... С Днем Матери... У нас есть поддержка для сестры, которой нужно грустить. Она наша родная сестра.",Hope_speech
"Она сегодня очень красивая. С юбилеем, дорогие...",Hope_speech
Я тоже гомосексуал и ни разу об этом не пожалел,Hope_speech
"@binu pv тема, вот в чем разница .. (каждое видео отличается)",Hope_speech
"@GHOST TROLLS Сначала разберитесь. Измените притворство, что я величайший, ничего не зная. Не думайте, что ваш собственный интеллект самый лучший.",Hope_speech
"Уважаемый доктор, пусть они продолжают снимать такие же хорошие видео.",Hope_speech
"Я испытываю уважение к Аруну Четану... Даже он не знает, о чем говорит Кевин... Никеш Сону поздравляю... Да благословит вас Бог...",Hope_speech
Дай Бог Вам здоровья на долгие годы,Hope_speech
"Поздравляем матерей 24-летнего возраста, которые выбрали хорошую тему для обсуждения в контексте ситуации в стране сегодня. Будем надеяться, что таких дискуссий будет больше... Пусть следующая будет лесбийской.",Hope_speech
"Даже когда на канале идет большая дискуссия, никто об этом не говорит, носите маску, носите маску, это единственное, что говорится, простым людям нужно говорить так",Hope_speech
"Все одинаковы друг мой…..!!!?Имеет ли смысл обвинять дерево или остальные плоды в испорченном плоде на дереве…..?! Хорошее и плохое есть в любой категории. Прими хорошее. Мгновенно отбрасывайте все плохое.....разве это не то, что вам нужно...!!?Нехорошо обвинять всех одинаково.....Остальное надеюсь вы понимаете ?????",Hope_speech
Мир принадлежит всем мужчинам,Hope_speech
С годовщиной свадьбы Ранджумма и Сурьямма - две очень уважаемые личности.,Hope_speech
"Было много неправильных представлений о них, и все это изменилось.. Я понял, что такие люди - люди с невинными умами.. Это наполнило мои глаза.",Hope_speech
С годовщиной Сурья Кутти Ишаан,Hope_speech
"Если войдет китайская армия, у них не будет индусов или мусульман, у индийцев будет я.. Помните, что они пойдут в дом Ашоки и пойдут в дом Абдуллы, тогда мы будем только индийцами.. Перестаньте вместо этого учить нас сражаться друг с другом трусов пытаются быть единым целым и сделать Индию сильнее других стран.",Hope_speech
"Доктор По какому заболеванию является специалистом. Хорошее видео. ответьте, пожалуйста",Hope_speech
Пусть Patachon поможет вам прожить счастливо 100 лет. Поздравляем Сурью Ишан с годовщиной свадьбы.,Hope_speech
Желаю Сону и Никеш счастливой семейной жизни. Ни одна девушка не была обманута. Они выбрали свой путь.,Hope_speech
Очень хорошая информация,Hope_speech
их жизнь их семья их хорошие и плохие,Hope_speech
"Хотя и правда, что любовь и заботу, полученные от матери, нельзя оставлять без внимания, сколько детей растут без матери под присмотром отца. Но сколько бы любви вы ни получали от этих двух отцов, вы можете столкнуться с насмешками в глазах окружающих (не всех). В зарубежных странах это не проблема. Но наше мышление все еще нуждается в росте",Hope_speech
"@KiLlErDuDE 7 Ты политик, но наш храбрый Джаван Мар пропал",Hope_speech
